Year,Month,Data #,Degrees
1882,1,1,-10.6
1882,2,2,-35.6
1882,3,3,-40.6
1882,4,4,-42.3
1882,5,5,-36.5
1882,6,6,-19.6
1882,7,7,-5.2
1882,8,8,8.5
1882,9,9,12.9
1882,10,10,19.9
1882,11,11,14.1
1882,12,12,4.8
1883,1,13,-8.9
1883,2,14,-28.9
1883,3,15,-40.2
1883,4,16,-41.9
1883,5,17,-32.8
1883,6,18,-25
1883,7,19,-9
1883,8,20,1.9
1883,9,21,14.6
1883,10,22,21.4
1883,11,23,15.2
1883,12,24,6.9
1884,1,25,-7.4
1884,2,26,-24.9
1884,3,27,-38.5
1884,4,28,-45.1
1884,5,29,-36.4
1884,6,30,-17.8
1884,7,31,-11.6
1884,8,32,2.1
1884,9,33,13.2
1884,10,34,19.3
1884,11,35,13.6
1884,12,36,5.5
1885,1,37,-8.5
1885,2,38,-28.5
1885,3,39,-42
1885,4,40,-42.6
1885,5,41,-33.1
1885,6,42,-23
1885,7,43,-6.5
1885,8,44,3.5
1885,9,45,12.7
1885,10,46,15.8
1885,11,47,10.4
1885,12,48,5
1886,1,49,-9.6
1886,2,50,-28.9
1886,3,51,-39.7
1886,4,52,-43.5
1886,5,53,-32.2
1886,6,54,-17.2
1886,7,55,-6.5
1886,8,56,6.3
1886,9,57,17.7
1886,10,58,17.2
1886,11,59,11.2
1886,12,60,7.2
1887,1,61,-7.9
1887,2,62,-32.4
1887,3,63,-40.4
1887,4,64,-43.3
1887,5,65,-39.8
1887,6,66,-24.8
1887,7,67,-8.2
1887,8,68,5.7
1887,9,69,13.8
1887,10,70,17.5
1887,11,71,15
1887,12,72,4.8
1888,1,73,-7.9
1888,2,74,-25.6
1888,3,75,-43.1
1888,4,76,-44.8
1888,5,77,-28
1888,6,78,-23.4
1888,7,79,-6.1
1888,8,80,5.9
1888,9,81,16.7
1888,10,82,19.7
1888,11,83,13.2
1888,12,84,6.7
1889,1,85,-10.5
1889,2,86,-29.2
1889,3,87,-39.2
1889,4,88,-46.1
1889,5,89,-39
1889,6,90,-21.3
1889,7,91,-5.4
1889,8,92,5.5
1889,9,93,16.7
1889,10,94,19.1
1889,11,95,15
1889,12,96,9.3
1890,1,97,-4.8
1890,2,98,-30.3
1890,3,99,-43
1890,4,100,-45.5
1890,5,101,-35.3
1890,6,102,-16.2
1890,7,103,-6.6
1890,8,104,7.2
1890,9,105,16.2
1890,10,106,18.8
1890,11,107,14.5
1890,12,108,5.6
1891,1,109,-10.2
1891,2,110,-29.5
1891,3,111,-38
1891,4,112,-46.3
1891,5,113,-40.5
1891,6,114,-22.6
1891,7,115,-7
1891,8,116,6.8
1891,9,117,17.1
1891,10,118,15.8
1891,11,119,14.1
1891,12,120,5.4
1892,1,121,-5.7
1892,2,122,-28.2
1892,3,123,-40.4
1892,4,124,-42.3
1892,5,125,-37.3
1892,6,126,-22
1892,7,127,-4.8
1892,8,128,8.2
1892,9,129,17.4
1892,10,130,21.3
1892,11,131,12.7
1892,12,132,6.1
1893,1,133,-6.9
1893,2,134,-27.3
1893,3,135,-38.2
1893,4,136,-44.2
1893,5,137,-38.3
1893,6,138,-18.8
1893,7,139,-4.9
1893,8,140,5.6
1893,9,141,13.6
1893,10,142,21.7
1893,11,143,14.6
1893,12,144,5.9
1894,1,145,-10
1894,2,146,-27.8
1894,3,147,-36.9
1894,4,148,-49.8
1894,5,149,-37.3
1894,6,150,-24.9
1894,7,151,-9.3
1894,8,152,3
1894,9,153,18
1894,10,154,19.8
1894,11,155,15.3
1894,12,156,7.6
1895,1,157,-8.3
1895,2,158,-30.1
1895,3,159,-37.2
1895,4,160,-40.3
1895,5,161,-32.8
1895,6,162,-21.9
1895,7,163,-13.2
1895,8,164,3.5
1895,9,165,15
1895,10,166,18.5
1895,11,167,16.6
1895,12,168,7.9
1896,1,169,-5.5
1896,2,170,-26.8
1896,3,171,-42.3
1896,4,172,-49.4
1896,5,173,-33.8
1896,6,174,-23.2
1896,7,175,-6.2
1896,8,176,7.1
1896,9,177,15.8
1896,10,178,19.9
1896,11,179,15.1
1896,12,180,5.5
1897,1,181,-6.5
1897,2,182,-23.4
1897,3,183,-34.7
1897,4,184,-42.9
1897,5,185,-29.5
1897,6,186,-25.9
1897,7,187,-11.7
1897,8,188,6
1897,9,189,14.7
1897,10,190,17
1897,11,191,15.7
1897,12,192,4.1
1898,1,193,-9.6
1898,2,194,-32
1898,3,195,-41.2
1898,4,196,-42.4
1898,5,197,-35.4
1898,6,198,-22.1
1898,7,199,-10.4
1898,8,200,4.2
1898,9,201,13.1
1898,10,202,18.9
1898,11,203,17.9
1898,12,204,7.1
1899,1,205,-4.7
1899,2,206,-30
1899,3,207,-45.3
1899,4,208,-51.4
1899,5,209,-43.7
1899,6,210,-22
1899,7,211,-6.1
1899,8,212,6.1
1899,9,213,12.5
1899,10,214,16.4
1899,11,215,14.2
1899,12,216,8.3
1900,1,217,-7.3
1900,2,218,-29
1900,3,219,-39.5
1900,4,220,-44.4
1900,5,221,-36.2
1900,6,222,-19
1900,7,223,-5.3
1900,8,224,5.4
1900,9,225,15.8
1900,10,226,18.4
1900,11,227,15.4
1900,12,228,5.7
1901,1,229,-9.5
1901,2,230,-27.2
1901,3,231,-38.8
1901,4,232,-48.6
1901,5,233,-34.2
1901,6,234,-24.2
1901,7,235,-9.3
1901,8,236,2.3
1901,9,237,16.2
1901,10,238,18.5
1901,11,239,13.9
1901,12,240,5.3
1902,1,241,-10.2
1902,2,242,-31.5
1902,3,243,-37.9
1902,4,244,-37.4
1902,5,245,-27.5
1902,6,246,-18.9
1902,7,247,-11.2
1902,8,248,6.2
1902,9,249,16.1
1902,10,250,18.7
1902,11,251,14.3
1902,12,252,5.8
1903,1,253,-10.1
1903,2,254,-22
1903,3,255,-44
1903,4,256,-38.7
1903,5,257,-37.2
1903,6,258,-21
1903,7,259,-5.5
1903,8,260,3.4
1903,9,261,11.9
1903,10,262,16.8
1903,11,263,13.1
1903,12,264,5.5
1904,1,265,-10.3
1904,2,266,-23.3
1904,3,267,-37.3
1904,4,268,-35.8
1904,5,269,-37.5
1904,6,270,-21.7
1904,7,271,-10.4
1904,8,272,3.5
1904,9,273,14.3
1904,10,274,16.7
1904,11,275,13
1904,12,276,6
1905,1,277,-10.6
1905,2,278,-30.4
1905,3,279,-41.9
1905,4,280,-41.2
1905,5,281,-36.6
1905,6,282,-20.3
1905,7,283,-7.3
1905,8,284,6.2
1905,9,285,18.3
1905,10,286,18.8
1905,11,287,16.2
1905,12,288,7
1906,1,289,-6.4
1906,2,290,-30.2
1906,3,291,-31.6
1906,4,292,-45.7
1906,5,293,-34
1906,6,294,-23.2
1906,7,295,-5.9
1906,8,296,5.8
1906,9,297,14.3
1906,10,298,18.6
1906,11,299,14.3
1906,12,300,6.3
1907,1,301,-5.4
1907,2,302,-26.3
1907,3,303,-46.7
1907,4,304,-46.6
1907,5,305,-33.3
1907,6,306,-23.6
1907,7,307,-7.3
1907,8,308,6.2
1907,9,309,17
1907,10,310,21.7
1907,11,311,12.1
1907,12,312,9.6
1908,1,313,-4
1908,2,314,-27.1
1908,3,315,-43
1908,4,316,-50.9
1908,5,317,-38.7
1908,6,318,-23.1
1908,7,319,-6.9
1908,8,320,3
1908,9,321,13.2
1908,10,322,18.5
1908,11,323,15.8
1908,12,324,5.3
1909,1,325,-5.5
1909,2,326,-32.3
1909,3,327,-34.7
1909,4,328,-40
1909,5,329,-33.8
1909,6,330,-20.4
1909,7,331,-6.9
1909,8,332,5
1909,9,333,15.8
1909,10,334,22.1
1909,11,335,16.7
1909,12,336,8.1
1910,1,337,-4.7
1910,2,338,-27.3
1910,3,339,-42.2
1910,4,340,-44.8
1910,5,341,-32.3
1910,6,342,-21.3
1910,7,343,-6.3
1910,8,344,4.1
1910,9,345,12.7
1910,10,346,15.4
1910,11,347,16.9
1910,12,348,2.6
1911,1,349,-5.8
1911,2,350,-25.2
1911,3,351,-41.5
1911,4,352,-39.3
1911,5,353,-38.8
1911,6,354,-25.4
1911,7,355,-7.8
1911,8,356,4.8
1911,9,357,16.7
1911,10,358,16.8
1911,11,359,13.5
1911,12,360,5.3
1912,1,361,-10.7
1912,2,362,-29.2
1912,3,363,-45.9
1912,4,364,-42.5
1912,5,365,-37.5
1912,6,366,-20.2
1912,7,367,-10.6
1912,8,368,5.2
1912,9,369,14.4
1912,10,370,16.5
1912,11,371,15.1
1912,12,372,6.5
1913,1,373,-9.3
1913,2,374,-30.5
1913,3,375,-38.4
1913,4,376,-41.3
1913,5,377,-30.6
1913,6,378,-26.4
1913,7,379,-7.8
1913,8,380,4.3
1913,9,381,18.3
1913,10,382,19.9
1913,11,383,15.1
1913,12,384,7.3
1914,1,385,-5.9
1914,2,386,-31.5
1914,3,387,-32.8
1914,4,388,-46.6
1914,5,389,-36.8
1914,6,390,-20
1914,7,391,-8.4
1914,8,392,7
1914,9,393,14.2
1914,10,394,17.4
1914,11,395,9.9
1914,12,396,3.6
1915,1,397,-10.6
1915,2,398,-28.7
1915,3,399,-44.5
1915,4,400,-44.4
1915,5,401,-37.2
1915,6,402,-20.6
1915,7,403,-9.7
1915,8,404,6.1
1915,9,405,16.2
1915,10,406,19.8
1915,11,407,16
1915,12,408,4
1916,1,409,-4.7
1916,2,410,-25.7
1916,3,411,-40.8
1916,4,412,-40.1
1916,5,413,-33.6
1916,6,414,-22.5
1916,7,415,-7.4
1916,8,416,5.3
1916,9,417,16.2
1916,10,418,19.7
1916,11,419,14.5
1916,12,420,7.1
1917,1,421,-7.9
