Date,Price,Open,High,Low,Volume,Change %
02/27/2025,"1,024.63","1,024.25","1,034.13","1,020.63",30.60K,0.01%
02/26/2025,"1,024.50","1,030.00","1,032.75","1,021.25",74.75K,-0.65%
02/25/2025,"1,031.25","1,029.00","1,035.00","1,019.50",117.59K,0.22%
02/24/2025,"1,029.00","1,038.25","1,043.00","1,027.00",101.53K,-1.01%
02/21/2025,"1,039.50","1,043.75","1,049.25","1,036.50",115.93K,-0.57%
02/20/2025,"1,045.50","1,032.25","1,046.00","1,031.75",112.59K,1.33%
02/19/2025,"1,031.75","1,037.00","1,047.75","1,029.25",133.96K,-0.65%
02/18/2025,"1,038.50","1,033.00","1,041.75","1,026.00",123.33K,0.24%
02/14/2025,"1,036.00","1,030.00","1,046.75","1,029.50",120.77K,0.58%
02/13/2025,"1,030.00","1,028.50","1,032.50","1,024.00",147.39K,0.22%
02/12/2025,"1,027.75","1,043.50","1,047.00","1,024.50",171.58K,-1.51%
02/11/2025,"1,043.50","1,049.00","1,057.00","1,041.50",149.76K,-0.57%
02/10/2025,"1,049.50","1,046.50","1,052.25","1,043.00",128.32K,0.00%
02/07/2025,"1,049.50","1,060.50","1,063.75","1,047.50",154.23K,-1.04%
02/06/2025,"1,060.50","1,057.25","1,066.50","1,049.75",129.16K,0.33%
02/05/2025,"1,057.00","1,073.50","1,079.75","1,053.00",166.30K,-1.67%
02/04/2025,"1,075.00","1,057.50","1,077.25","1,048.25",182.91K,1.58%
02/03/2025,"1,058.25","1,032.00","1,060.25","1,031.75",164.40K,1.56%
01/31/2025,"1,042.00","1,042.75","1,052.00","1,034.00",154.52K,-0.19%
01/30/2025,"1,044.00","1,060.00","1,060.50","1,042.00",135.41K,-1.56%
01/29/2025,"1,060.50","1,045.00","1,061.75","1,044.50",128.05K,1.48%
01/28/2025,"1,045.00","1,042.75","1,050.75","1,041.00",129.00K,0.00%
01/27/2025,"1,045.00","1,050.00","1,051.00","1,040.00",127.36K,-1.02%
01/24/2025,"1,055.75","1,051.00","1,063.00","1,046.75",177.24K,-0.92%
01/23/2025,"1,065.50","1,055.00","1,076.25","1,047.75",148.82K,0.90%
01/22/2025,"1,056.00","1,066.00","1,073.50","1,051.75",214.74K,-1.05%
01/21/2025,"1,067.25","1,045.00","1,068.00","1,039.00",215.09K,3.22%
01/17/2025,"1,034.00","1,019.00","1,039.00","1,019.00",189.42K,1.47%
01/16/2025,"1,019.00","1,042.00","1,042.75","1,018.50",162.10K,-2.28%
01/15/2025,"1,042.75","1,046.00","1,054.00","1,039.75",139.45K,-0.02%
01/14/2025,"1,043.00","1,043.00","1,049.00","1,035.00",0.04K,0.14%
01/13/2025,"1,041.50","1,022.00","1,044.00","1,021.50",0.20K,1.58%
01/10/2025,"1,025.25",996.5,"1,033.50",996.5,267.97K,2.63%
01/09/2025,999,994,"1,000.00",985.75,84.88K,0.45%
01/08/2025,994.5,996.75,"1,001.00",991.75,115.23K,-0.28%
01/07/2025,997.25,997,998.25,985.5,132.28K,-0.05%
01/06/2025,997.75,993.75,"1,009.75",993.25,135.00K,0.60%
01/03/2025,991.75,"1,011.00","1,015.50",988,155.03K,-2.00%
01/02/2025,"1,012.00","1,010.00","1,015.75","1,003.50",129.60K,0.15%
12/31/2024,"1,010.50",991,"1,012.00",990.75,142.79K,1.89%
12/30/2024,991.75,994.25,"1,004.50",986.75,140.33K,0.20%
12/27/2024,989.75,995.75,998.25,988.5,104.44K,-0.75%
12/26/2024,997.25,985,998,981,135.97K,1.63%
12/24/2024,981.25,974.5,981.75,971.75,64.01K,0.59%
12/23/2024,975.5,979.5,984,972.75,105.21K,-0.38%
12/20/2024,979.25,966,982.25,963.25,119.53K,1.32%
12/19/2024,966.5,952,968.5,947,166.73K,1.39%
12/18/2024,953.25,978.75,979.5,952,145.03K,-2.61%
12/17/2024,978.75,986.5,990,972,142.64K,-0.74%
12/16/2024,986,993.75,999.5,985,110.51K,-0.90%
12/13/2024,995,"1,002.00","1,002.50",993,72.77K,-0.82%
12/12/2024,"1,003.25","1,002.00","1,005.25",996.25,130.37K,0.05%
12/11/2024,"1,002.75",999,"1,006.50",994,133.24K,0.25%
12/10/2024,"1,000.25",995.5,"1,005.25",994.25,98.53K,0.48%
12/09/2024,995.5,997.25,"1,008.25",991.75,100.17K,-0.38%
12/06/2024,999.25,999,"1,002.75",993.25,113.33K,0.03%
12/05/2024,999,989.25,999.5,987.75,67.46K,0.93%
12/04/2024,989.75,997,997.75,987,56.86K,-0.75%
12/03/2024,997.25,990.25,"1,003.75",989.75,75.33K,0.63%
12/02/2024,991,996.75,996.75,984.5,67.15K,-0.50%
11/29/2024,996,"1,000.00","1,006.00",989.5,41.45K,-0.10%
11/27/2024,997,994,"1,003.00",993.25,79.27K,0.30%
11/26/2024,994,988.75,999.75,987,78.79K,-0.03%
11/25/2024,994.25,994.25,"1,000.75",991.75,42.04K,0.20%
11/22/2024,992.25,987.75,993.25,982.5,67.13K,0.71%
11/21/2024,985.25,999.75,"1,006.25",983.75,74.34K,-1.40%
11/20/2024,999.25,"1,008.00","1,011.00",995,50.52K,-0.92%
11/19/2024,"1,008.50","1,019.00","1,021.75","1,005.50",48.89K,-1.03%
11/18/2024,"1,019.00","1,012.00","1,020.75",999.25,40.66K,1.02%
11/15/2024,"1,008.75",999.5,"1,015.50",999.25,52.49K,2.15%
11/14/2024,987.5,"1,006.50","1,013.75",986.25,152.38K,-2.01%
11/13/2024,"1,007.75","1,011.50","1,012.75","1,001.75",114.15K,-0.27%
11/12/2024,"1,010.50","1,023.75","1,027.50","1,003.75",158.85K,-1.15%
11/11/2024,"1,022.25","1,030.00","1,042.25","1,019.50",137.40K,-0.78%
11/08/2024,"1,030.25","1,025.00","1,044.00","1,017.50",253.19K,0.39%
11/07/2024,"1,026.25","1,004.00","1,027.75","1,000.50",197.07K,2.24%
11/06/2024,"1,003.75",999.25,"1,007.75",982,208.31K,0.20%
11/05/2024,"1,001.75",997,"1,006.25",996.25,101.65K,0.45%
11/04/2024,997.25,996.5,"1,008.00",994,104.35K,0.35%
11/01/2024,993.75,995.5,"1,008.75",988.75,126.13K,-0.08%
10/31/2024,994.5,991.25,999.25,988.25,107.95K,0.33%
10/30/2024,991.25,978.5,992.75,977.25,159.63K,1.25%
10/29/2024,979,986.75,991.5,978.5,162.48K,-0.71%
10/28/2024,986,995.25,995.25,985.5,146.86K,-1.15%
10/25/2024,997.5,"1,005.00","1,006.00",994,158.66K,-0.75%
10/24/2024,"1,005.00","1,005.00","1,018.00","1,002.50",180.13K,0.00%
10/23/2024,"1,005.00","1,001.00","1,007.50",994.25,130.44K,0.45%
10/22/2024,"1,000.50",989,"1,003.75",986.75,131.97K,1.09%
10/21/2024,989.75,982.5,993.25,981.75,133.30K,0.71%
10/18/2024,982.75,998.5,"1,004.25",982.25,154.63K,-1.53%
